Account,Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Company,,ai consulting company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Company,,ai consulting company,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Company,,,,Responsive search ad,Ai Consulting Company,Ai Consulting Company India,Ai Consulting Company Team,Ai Consulting Company Experts,Free AI Opportunity Audit,Find Where AI Pays Off,"Roadmap in Weeks, Not Slides",Consultants Who Also Build,"We Ship, Not Just Advise","Senior AI Consultant, Day One",Cut Through the AI Hype,Start With One Use Case,Prove It Before You Scale,Strategy and Code Are Yours,"GenAI, Agents, Automation","AI consulting company that finds where AI actually pays off, then builds the first use","Free AI opportunity assessment. A prioritised roadmap in weeks - honest, not a 100-slide","Consultants who also ship production AI: GenAI, LLMs, agents and automation on your data.","You own the strategy, prompts and code. Senior consultant on the first call, no lock-in.",ai-consulting,india,https://ai.rdmi.in/ai-consulting-company
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultant,,ai consultant,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultant,,ai consultant,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultant,,,,Responsive search ad,Ai Consultant,Ai Consultant India,Ai Consultant Team,Ai Consultant Experts,Free AI Opportunity Audit,Find Where AI Pays Off,"Roadmap in Weeks, Not Slides",Consultants Who Also Build,"We Ship, Not Just Advise","Senior AI Consultant, Day One",Cut Through the AI Hype,Start With One Use Case,Prove It Before You Scale,Strategy and Code Are Yours,"GenAI, Agents, Automation","AI consulting company that finds where AI actually pays off, then builds the first use","Free AI opportunity assessment. A prioritised roadmap in weeks - honest, not a 100-slide","Consultants who also ship production AI: GenAI, LLMs, agents and automation on your data.","You own the strategy, prompts and code. Senior consultant on the first call, no lock-in.",ai-consultant,india,https://ai.rdmi.in/ai-consulting-company
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultancy,,ai consultancy,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultancy,,ai consultancy,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consultancy,,,,Responsive search ad,Ai Consultancy,Ai Consultancy India,Ai Consultancy Team,Ai Consultancy Experts,Free AI Opportunity Audit,Find Where AI Pays Off,"Roadmap in Weeks, Not Slides",Consultants Who Also Build,"We Ship, Not Just Advise","Senior AI Consultant, Day One",Cut Through the AI Hype,Start With One Use Case,Prove It Before You Scale,Strategy and Code Are Yours,"GenAI, Agents, Automation","AI consulting company that finds where AI actually pays off, then builds the first use","Free AI opportunity assessment. A prioritised roadmap in weeks - honest, not a 100-slide","Consultants who also ship production AI: GenAI, LLMs, agents and automation on your data.","You own the strategy, prompts and code. Senior consultant on the first call, no lock-in.",ai-consultancy,india,https://ai.rdmi.in/ai-consulting-company
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Services,,ai consulting services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Services,,ai consulting services,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Services,,,,Responsive search ad,Ai Consulting Services,Ai Consulting Services India,Ai Consulting Services Team,Ai Consulting Services Experts,Free AI Opportunity Audit,Find Where AI Pays Off,"Roadmap in Weeks, Not Slides",Consultants Who Also Build,"We Ship, Not Just Advise","Senior AI Consultant, Day One",Cut Through the AI Hype,Start With One Use Case,Prove It Before You Scale,Strategy and Code Are Yours,"GenAI, Agents, Automation","AI consulting company that finds where AI actually pays off, then builds the first use","Free AI opportunity assessment. A prioritised roadmap in weeks - honest, not a 100-slide","Consultants who also ship production AI: GenAI, LLMs, agents and automation on your data.","You own the strategy, prompts and code. Senior consultant on the first call, no lock-in.",ai-consulting,india,https://ai.rdmi.in/ai-consulting-company
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Firms,,ai consulting firms,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Firms,,ai consulting firms,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Consulting SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Consulting Firms,,,,Responsive search ad,Ai Consulting Firms,Ai Consulting Firms India,Ai Consulting Firms Team,Ai Consulting Firms Experts,Free AI Opportunity Audit,Find Where AI Pays Off,"Roadmap in Weeks, Not Slides",Consultants Who Also Build,"We Ship, Not Just Advise","Senior AI Consultant, Day One",Cut Through the AI Hype,Start With One Use Case,Prove It Before You Scale,Strategy and Code Are Yours,"GenAI, Agents, Automation","AI consulting company that finds where AI actually pays off, then builds the first use","Free AI opportunity assessment. A prioritised roadmap in weeks - honest, not a 100-slide","Consultants who also ship production AI: GenAI, LLMs, agents and automation on your data.","You own the strategy, prompts and code. Senior consultant on the first call, no lock-in.",ai-consulting,india,https://ai.rdmi.in/ai-consulting-company
